label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w64_ep7_m1,w64,7,6.092,Q,7,2,"(256, 64)",2.960857391357422,25,4.121609210968018,0.9910375281909721,3.017782688140869,1.0192259550094604,1.9573668241500854
w64_ep7_m1,w64,7,6.092,Q,7,3,"(256, 64)",2.7384324073791504,26,4.126064300537109,0.9921087507956463,2.9302361011505127,1.0700414180755615,1.9374792575836182
w64_ep7_m1,w64,7,6.092,K,7,0,"(256, 64)",2.914003610610962,25,4.122310161590576,0.9912060711888177,2.996466875076294,1.0282989740371704,1.931626558303833
w64_ep7_m1,w64,7,6.092,K,7,1,"(256, 64)",2.8397252559661865,26,4.12493371963501,0.9918369035521825,2.9890623092651367,1.0525885820388794,1.9342191219329834
w64_ep7_m1,w64,7,6.092,K,7,2,"(256, 64)",2.7689285278320312,26,4.123972415924072,0.9916057588694228,2.9288835525512695,1.0577678680419922,1.9439927339553833
w64_ep7_m1,w64,7,6.092,K,7,3,"(256, 64)",2.7439332008361816,25,4.1235551834106445,0.9915054356564196,2.9467036724090576,1.0738977193832397,1.918553113937378
w64_ep7_m1,w64,7,6.092,V,7,0,"(256, 64)",2.837993860244751,26,4.125219821929932,0.9919056966125276,3.0246942043304443,1.0657860040664673,1.937146782875061
w64_ep7_m1,w64,7,6.092,V,7,1,"(256, 64)",3.0742433071136475,26,4.123462200164795,0.9914830779118073,3.1321911811828613,1.018849492073059,1.9588477611541748
w64_ep7_m1,w64,7,6.092,V,7,2,"(256, 64)",2.871279001235962,26,4.124468803405762,0.9917251148291216,2.8825862407684326,1.00393807888031,1.9181569814682007
w64_ep7_m1,w64,7,6.092,V,7,3,"(256, 64)",2.86633563041687,26,4.124578475952148,0.9917514855022539,3.0208027362823486,1.0538901090621948,1.9452571868896484
w64_ep7_m1,w64,7,6.092,Wo,7,-1,"(256, 256)",498.8011474609375,71,5.32597541809082,0.9604697904470187,2.062267780303955,0.0041344487108290195,0.8560892939567566
w64_ep7_m1,w64,7,6.092,FFN_up,7,-1,"(1024, 256)",7.2396368980407715,99,5.4989333152771,0.9916604780161723,4.339090824127197,0.5993520021438599,1.1702042818069458
w64_ep7_m1,w64,7,6.092,FFN_down,7,-1,"(256, 1024)",25.835634231567383,84,5.397090435028076,0.973294450730533,7.779729843139648,0.3011240065097809,0.6885085701942444
